SUCURSAL,FECHA,CATEGORIA,ARTICULO,ISBN,TITULO,CANTIDAD
Sucursal Sur 02,2026-05,LIBROS > Juvenil,1154161,9786454336965,El río del alba,17
Sucursal AMBA 08,2026-05,LIBROS > Ciencia,1169388,9786523818866,La montaña sin fronteras,1
Sucursal Cuyo 04,2026-05,LIBROS > Arte y Diseño,1175412,9784443511421,El puerto de cristal,2
Sucursal Sur 02,2026-05,LIBROS > Infantil,1163403,9784345251240,El jardín de cristal,9
Sucursal Costa 03,2026-05,LIBROS > Negocios,1145782,9780124434566,La plaza en la niebla,3
Sucursal Costa 04,2026-05,LIBROS > Ciencia,1144377,9786314612286,El umbral del sur,3
Sucursal AMBA 12,2026-05,LIBROS > Autoayuda,1150663,9782324446125,La noche invisible,4
Sucursal Feria 01,2026-05,LIBROS > Juvenil,1149835,9788566226731,El camino perdido,34
Sucursal AMBA 11,2026-05,LIBROS > Juvenil,1175416,9781112426551,La casa de sal,2
Sucursal Costa 02,2026-05,LIBROS > Juvenil,1153754,9786631227612,La ruta luminoso,1
Sucursal Depósito 01,2026-05,LIBROS > Juvenil,1154163,9781607648142,La casa de las sombras,2
Sucursal Cuyo 04,2026-05,LIBROS > Juvenil,1176943,9784356944321,La isla de jade,8
Sucursal Centro 03,2026-05,LIBROS > Juvenil,1154161,9786454336965,El río del alba,8
Sucursal AMBA 12,2026-05,LIBROS > Juvenil,1163402,9782321490963,El jardín entre líneas,2
Sucursal AMBA 10,2026-05,LIBROS > Juvenil,1164624,9788716324851,El río de fuego,2
Sucursal AMBA 09,2026-05,LIBROS > Juvenil,1177224,9784662531655,El espejo de piedra,2
Sucursal Sur 02,2026-05,LIBROS > Ciencia,1160939,9780215850192,La torre de fuego,6
Sucursal Sur 03,2026-05,LIBROS > Juvenil,1169392,9788549303512,La plaza de piedra,4
Sucursal Costa 06,2026-05,LIBROS > Juvenil,1138641,9782548645356,El puente del silencio,2
Sucursal AMBA 03,2026-05,LIBROS > Cocina,1178308,9784144941426,El eco nocturno,6
Sucursal AMBA 03,2026-05,LIBROS > Juvenil,1164624,9788716324851,El río de fuego,9
Sucursal Feria 01,2026-05,LIBROS > Juvenil,1177224,9784662531655,El espejo de piedra,11
Sucursal AMBA 05,2026-05,LIBROS > Juvenil,1144373,9783668864255,La isla en el viento,1
Sucursal Centro 04,2026-05,LIBROS > Juvenil,1172284,9787215155806,El mapa de piedra,3
Sucursal AMBA 01,2026-05,LIBROS > Juvenil,1139681,9789675302160,La ventana lejano,1
Sucursal Sur 05,2026-05,LIBROS > Negocios,1145782,9780124434566,La plaza en la niebla,2
Sucursal AMBA 13,2026-05,LIBROS > Cocina,1118562,9789516275170,El eco olvidado,1
Sucursal Sur 03,2026-05,LIBROS > Juvenil,1175404,9787457202063,La tierra secreto,1
Sucursal Feria 01,2026-05,LIBROS > No Ficción,1160938,9786452166361,El cielo de papel,10
Sucursal Centro 03,2026-05,LIBROS > Juvenil,1167729,9780447599114,La voz de hierro,8
Sucursal Feria 01,2026-05,LIBROS > Negocios,1157842,9789503465423,El espejo eterno,12
Sucursal Costa 06,2026-05,LIBROS > Juvenil,1158971,9787416163133,La ruta fugaz,2
Sucursal Costa 04,2026-05,LIBROS > Juvenil,1172284,9787215155806,El mapa de piedra,1
Sucursal AMBA 01,2026-05,LIBROS > Juvenil,1164621,9787464136258,El faro del río,3
Sucursal Sur 03,2026-05,LIBROS > Infantil,827857,9782365423427,El cielo sin fronteras,5
Sucursal Feria 01,2026-05,LIBROS > Ciencia,1170354,9788766617640,La huella en la lluvia,14
Sucursal Costa 06,2026-05,LIBROS > Juvenil,1150669,9789838018530,El faro invisible,7
Sucursal AMBA 05,2026-05,LIBROS > Autoayuda,1167075,9784414941962,El reloj de arena,0
Sucursal Sur 01,2026-05,LIBROS > Ciencia,1150662,9787843084524,La senda nocturno,4
Sucursal Feria 01,2026-05,LIBROS > Académico,1095355,9784065921164,El río del bosque,2
Sucursal AMBA 06,2026-05,LIBROS > Autoayuda,1167075,9784414941962,El reloj de arena,1
Sucursal AMBA 14,2026-05,LIBROS > Juvenil,1086923,9784525158385,La montaña de sal,1
Sucursal AMBA 15,2026-05,LIBROS > Juvenil,1141482,9789436396664,El puerto profundo,5
Sucursal Norte 03,2026-05,LIBROS > Negocios,1145782,9780124434566,La plaza en la niebla,3
Sucursal AMBA 07,2026-05,LIBROS > Juvenil,1156175,9780820239346,La plaza de ceniza,1
Sucursal AMBA 11,2026-05,LIBROS > Juvenil,1106685,9784516938921,El umbral luminoso,4
Sucursal AMBA 07,2026-05,LIBROS > Juvenil,1173051,9786882485594,La casa de papel,5
Sucursal AMBA 05,2026-05,LIBROS > Juvenil,1163399,9785125276596,La tierra de fuego,2
Sucursal Costa 07,2026-05,LIBROS > Juvenil,1161617,9784710844551,La noche de jade,3
Sucursal AMBA 14,2026-05,LIBROS > Autoayuda,1167075,9784414941962,El reloj de arena,1
Sucursal Norte 01,2026-05,LIBROS > Juvenil,1106685,9784516938921,El umbral luminoso,7
Sucursal Norte 06,2026-05,LIBROS > Autoayuda,1172259,9785725044714,El camino austral,3
Sucursal Cuyo 03,2026-05,LIBROS > Juvenil,1169393,9786529352269,El camino secreto,2
Sucursal AMBA 11,2026-05,LIBROS > Infantil,1163403,9784345251240,El jardín de cristal,2
Sucursal Centro 06,2026-05,LIBROS > Autoayuda,1172259,9785725044714,El camino austral,3
Sucursal Norte 01,2026-05,LIBROS > Ciencia,1176934,9782645293124,La isla del río,3
Sucursal AMBA 16,2026-05,LIBROS > Académico,1082318,9784108127586,La torre de ceniza,1
Sucursal Cuyo 01,2026-05,LIBROS > Juvenil,1177687,9783543756450,La casa boreal,2
Sucursal Feria 01,2026-05,LIBROS > Cocina,1127025,9782901312224,El jardín de bronce,7
Sucursal Norte 05,2026-05,LIBROS > Académico,1082317,9786645185054,La torre del alba,3
Sucursal AMBA 03,2026-05,LIBROS > Ciencia,1172015,9780521580189,El puente sin fronteras,1
Sucursal AMBA 12,2026-05,LIBROS > Juvenil,1164625,9782251733313,La isla de cristal,2
Sucursal AMBA 17,2026-05,LIBROS > Juvenil,1177222,9786800958909,El mapa en la niebla,15
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1154161,9786454336965,El río del alba,3
Sucursal AMBA 12,2026-05,LIBROS > Académico,1172693,9785194626010,La ventana del sur,5
Sucursal Centro 04,2026-05,LIBROS > Juvenil,1144372,9784728835468,El eco invisible,4
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1129998,9784756255967,La tierra perdido,4
Sucursal AMBA 07,2026-05,LIBROS > Cocina,1138639,9784613525502,El cielo de las sombras,2
Sucursal AMBA 08,2026-05,LIBROS > Juvenil,1111944,9786207813249,La voz entre líneas,4
Sucursal Depósito 01,2026-05,LIBROS > Ciencia,1140369,9783194559750,El espejo de fuego,2
Sucursal AMBA 10,2026-05,LIBROS > Ciencia,1167071,9782436556628,La ventana boreal,3
Sucursal Costa 02,2026-05,LIBROS > Juvenil,1167729,9780447599114,La voz de hierro,8
Sucursal Centro 04,2026-05,LIBROS > Cocina,1170353,9780444836683,La ruta del silencio,2
Sucursal AMBA 12,2026-05,LIBROS > Ciencia,1172015,9780521580189,El puente sin fronteras,1
Sucursal Norte 06,2026-05,LIBROS > Ciencia,1140369,9783194559750,El espejo de fuego,1
Sucursal Costa 02,2026-05,LIBROS > Juvenil,1177689,9783743882325,El faro en el viento,3
Sucursal Centro 04,2026-05,LIBROS > Juvenil,1158971,9787416163133,La ruta fugaz,2
Sucursal AMBA 18,2026-05,LIBROS > Infantil,1163403,9784345251240,El jardín de cristal,1
Sucursal Centro 03,2026-05,LIBROS > Negocios,1142496,9785364509621,La huella de piedra,3
Sucursal Costa 07,2026-05,LIBROS > Negocios,1157842,9789503465423,El espejo eterno,3
Sucursal AMBA 15,2026-05,LIBROS > Ciencia,1145137,9784431216109,El reloj lejano,1
Sucursal AMBA 08,2026-05,LIBROS > Juvenil,1106685,9784516938921,El umbral luminoso,7
Sucursal AMBA 17,2026-05,LIBROS > Ciencia,1137959,9784665745425,La huella austral,8
Sucursal AMBA 01,2026-05,LIBROS > Académico,1178307,9782806312554,La ruta del sur,21
Sucursal Sur 01,2026-05,LIBROS > Juvenil,1111945,9785142146286,La senda olvidado,4
Sucursal Centro 03,2026-05,LIBROS > Tecnología,1178306,9780540363134,El río secreto,2
Sucursal AMBA 12,2026-05,LIBROS > Ciencia,1140369,9783194559750,El espejo de fuego,1
Sucursal Sur 05,2026-05,LIBROS > Juvenil,1144373,9783668864255,La isla en el viento,2
Sucursal Norte 05,2026-05,LIBROS > Juvenil,1169394,9788665201626,La montaña de papel,5
Sucursal Centro 06,2026-05,LIBROS > Autoayuda,1150663,9782324446125,La noche invisible,1
Sucursal Sur 02,2026-05,LIBROS > Juvenil,1179382,9786413336182,El puerto de hierro,4
Sucursal AMBA 03,2026-05,LIBROS > Ciencia,1129996,9784372235606,El faro de jade,3
Sucursal Sur 06,2026-05,LIBROS > Autoayuda,1150663,9782324446125,La noche invisible,8
Sucursal AMBA 15,2026-05,LIBROS > Juvenil,1150667,9784476374525,El puente del sur,1
Sucursal AMBA 12,2026-05,LIBROS > Juvenil,1153186,9781173952489,La plaza eterno,1
Sucursal Norte 05,2026-05,LIBROS > Negocios,1132718,9784549056265,El umbral fugaz,2
Sucursal Cuyo 02,2026-05,LIBROS > Juvenil,1121588,9780793551438,La noche del río,1
Sucursal Norte 03,2026-05,LIBROS > Juvenil,1107300,9785755511511,La ventana de las sombras,2
Sucursal AMBA 08,2026-05,LIBROS > Académico,1178307,9782806312554,La ruta del sur,4
Sucursal AMBA 15,2026-05,LIBROS > Ciencia,1149829,9786323166823,El camino en la lluvia,1
Sucursal AMBA 03,2026-05,LIBROS > Juvenil,1119918,9781025555520,La casa de arena,4
Sucursal Centro 06,2026-05,LIBROS > Ciencia,1176934,9782645293124,La isla del río,4
Sucursal AMBA 12,2026-05,LIBROS > Juvenil,1143191,9785159411373,El jardín nocturno,4
Sucursal Costa 01,2026-05,LIBROS > Académico,1082321,9781995815456,La torre del bosque,1
Sucursal AMBA 01,2026-05,LIBROS > Deportes,1147092,9789364602144,El puente de sal,2
Sucursal Sur 02,2026-05,LIBROS > Ciencia,1090493,9784153234315,La isla profundo,2
Sucursal Norte 06,2026-05,LIBROS > Juvenil,1177687,9783543756450,La casa boreal,1
Sucursal Feria 01,2026-05,LIBROS > Cocina,1155207,9782621321223,El mapa de ceniza,4
Sucursal AMBA 15,2026-05,LIBROS > Juvenil,1144372,9784728835468,El eco invisible,2
Sucursal AMBA 01,2026-05,LIBROS > Académico,1149833,9784113078710,La ventana luminoso,1
Sucursal AMBA 19,2026-05,LIBROS > Negocios,1106681,9786374124052,El eco de jade,1
Sucursal Centro 03,2026-05,LIBROS > Juvenil,1101195,9782116546501,La tierra austral,2
Sucursal AMBA 12,2026-05,LIBROS > Académico,1082321,9781995815456,La torre del bosque,1
Sucursal Cuyo 04,2026-05,LIBROS > Ciencia,1129996,9784372235606,El faro de jade,1
Sucursal AMBA 20,2026-05,LIBROS > Académico,1172693,9785194626010,La ventana del sur,2
Sucursal Sur 02,2026-05,LIBROS > Ciencia,1176934,9782645293124,La isla del río,10
Sucursal Norte 03,2026-05,LIBROS > Ciencia,1162261,9784153550451,El cielo boreal,3
Sucursal AMBA 12,2026-05,LIBROS > Juvenil,1150666,9786253452104,La voz de bronce,2
Sucursal AMBA 07,2026-05,LIBROS > Académico,1178307,9782806312554,La ruta del sur,5
Sucursal Centro 06,2026-05,LIBROS > Juvenil,1122788,9784944718125,El reloj de las sombras,1
Sucursal AMBA 06,2026-05,LIBROS > Ciencia,1122785,9781419009491,El camino del bosque,4
Sucursal AMBA 03,2026-05,LIBROS > Autoayuda,1128124,9787164978899,El espejo del alba,2
Sucursal AMBA 17,2026-05,LIBROS > Juvenil,1179384,9786230783642,La montaña del silencio,4
Sucursal Norte 05,2026-05,LIBROS > Cocina,1178310,9785235276911,La ruta sin fronteras,3
Sucursal AMBA 03,2026-05,LIBROS > Cocina,1170353,9780444836683,La ruta del silencio,5
Sucursal AMBA 17,2026-05,LIBROS > Cocina,1057291,9786006314155,El faro de cristal,1
Sucursal Aeropuerto 01,2026-05,LIBROS > Cocina,1164622,9781106621736,La huella en la niebla,1
Sucursal Norte 02,2026-05,LIBROS > Juvenil,1122669,9782264608825,El reloj del sur,1
Sucursal Mayorista 01,2026-05,LIBROS > Juvenil,1138223,9781251394460,El puerto en el viento,3
Sucursal AMBA 09,2026-05,LIBROS > Juvenil,1172262,9786218341807,La senda invisible,2
Sucursal AMBA 02,2026-05,LIBROS > Tecnología,1178306,9780540363134,El río secreto,3
Sucursal Sur 04,2026-05,LIBROS > Ciencia,1145780,9786252610334,El río perdido,1
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1108890,9782537492710,La montaña de las sombras,2
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1163399,9785125276596,La tierra de fuego,2
Sucursal Sur 02,2026-05,LIBROS > Ciencia,1127024,9789209612626,El puerto entre líneas,6
Sucursal Cuyo 03,2026-05,LIBROS > Juvenil,1161617,9784710844551,La noche de jade,4
Sucursal Cuyo 03,2026-05,LIBROS > Ciencia,1160933,9781205946434,La plaza de fuego,1
Sucursal AMBA 04,2026-05,LIBROS > Viajes,1163398,9787730416941,El umbral del silencio,1
Sucursal AMBA 13,2026-05,LIBROS > Académico,1156791,9784615811624,La noche en el viento,2
Sucursal Norte 04,2026-05,LIBROS > Juvenil,1154161,9786454336965,El río del alba,3
Sucursal Costa 06,2026-05,LIBROS > Ciencia,1144377,9786314612286,El umbral del sur,1
Sucursal AMBA 21,2026-05,LIBROS > Juvenil,1177687,9783543756450,La casa boreal,1
Sucursal Costa 06,2026-05,LIBROS > Negocios,1139678,9785730069209,El camino de piedra,2
Sucursal AMBA 01,2026-05,LIBROS > Juvenil,1141482,9789436396664,El puerto profundo,3
Sucursal Mayorista 01,2026-05,LIBROS > Ciencia,1155205,9784351555033,La montaña fugaz,3
Sucursal AMBA 04,2026-05,LIBROS > Juvenil,1140370,9784598402752,La casa lejano,1
Sucursal Centro 06,2026-05,LIBROS > Juvenil,1113524,9781185263595,El jardín olvidado,2
Sucursal AMBA 15,2026-05,LIBROS > Juvenil,1143191,9785159411373,El jardín nocturno,4
Sucursal AMBA 09,2026-05,LIBROS > Juvenil,1153754,9786631227612,La ruta luminoso,2
Sucursal Mayorista 01,2026-05,LIBROS > Ciencia,1176942,9784213120157,La torre secreto,7
Sucursal Depósito 01,2026-05,LIBROS > Juvenil,1162252,9789686525142,La voz de cristal,7
Sucursal Costa 05,2026-05,LIBROS > Ciencia,1122785,9781419009491,El camino del bosque,2
Sucursal Sur 02,2026-05,LIBROS > Académico,1172693,9785194626010,La ventana del sur,6
Sucursal Centro 02,2026-05,LIBROS > Académico,1082314,9782344555608,El puente de papel,2
Sucursal Cuyo 01,2026-05,LIBROS > Negocios,1127016,9786066664242,La isla de hierro,2
Sucursal Cuyo 02,2026-05,LIBROS > Juvenil,1176944,9786010017796,El mapa eterno,5
Sucursal Costa 03,2026-05,LIBROS > Autoayuda,1084887,9781238646105,La ventana fugaz,1
Sucursal AMBA 21,2026-05,LIBROS > Juvenil,1148328,9786154653210,El eco del río,1
Sucursal AMBA 01,2026-05,LIBROS > Juvenil,1179376,9783451551626,La torre en la niebla,27
Sucursal Centro 01,2026-05,LIBROS > Académico,1082314,9782344555608,El puente de papel,2
Sucursal Norte 04,2026-05,LIBROS > Negocios,1157842,9789503465423,El espejo eterno,1
Sucursal AMBA 21,2026-05,LIBROS > Juvenil,1167729,9780447599114,La voz de hierro,3
Sucursal Norte 06,2026-05,LIBROS > Juvenil,1177689,9783743882325,El faro en el viento,4
Sucursal AMBA 21,2026-05,LIBROS > Juvenil,1157848,9780551025678,La tierra en la lluvia,1
Sucursal AMBA 03,2026-05,LIBROS > Juvenil,1176003,9782158457128,El cielo de arena,2
Sucursal Costa 05,2026-05,LIBROS > Juvenil,1178311,9786781601565,El puente luminoso,3
Sucursal AMBA 22,2026-05,LIBROS > Juvenil,1160431,9785010835943,La noche olvidado,2
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1177689,9783743882325,El faro en el viento,4
Sucursal Norte 04,2026-05,LIBROS > Ciencia,1162261,9784153550451,El cielo boreal,3
Sucursal Depósito 01,2026-05,LIBROS > Juvenil,1134943,9783236815646,El reloj de papel,2
Sucursal AMBA 23,2026-05,LIBROS > Juvenil,1128125,9783364602488,La voz nocturno,1
Sucursal AMBA 08,2026-05,LIBROS > Ciencia,1122785,9781419009491,El camino del bosque,2
Sucursal Centro 04,2026-05,LIBROS > Ciencia,1162261,9784153550451,El cielo boreal,2
Sucursal AMBA 14,2026-05,LIBROS > Académico,1178309,9783491561634,El espejo del bosque,3
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1139679,9783645383651,La ruta de sal,16
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1061224,9784817524541,El faro profundo,18
Sucursal AMBA 24,2026-05,LIBROS > Académico,1092537,9783029517147,La ruta lejano,1
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1106684,9786703435022,La huella de ceniza,6
Sucursal AMBA 24,2026-05,LIBROS > No Ficción,1167072,9786185010877,El reloj luminoso,7
Sucursal AMBA 24,2026-05,LIBROS > Cocina,1176000,9786729174161,La senda de jade,143
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1175418,9781113254770,El río austral,132
Sucursal AMBA 24,2026-05,LIBROS > Infantil,827857,9782365423427,El cielo sin fronteras,224
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1141482,9789436396664,El puerto profundo,123
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1164624,9788716324851,El río de fuego,242
Sucursal AMBA 24,2026-05,LIBROS > Académico,1163355,9786226809634,La senda entre líneas,22
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1129998,9784756255967,La tierra perdido,82
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1139681,9789675302160,La ventana lejano,24
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1135801,9780257598542,La montaña boreal,7
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1167077,9782967243876,El puerto de bronce,46
Sucursal AMBA 24,2026-05,LIBROS > No Ficción,1117255,9781443283225,La plaza del alba,98
Sucursal AMBA 24,2026-05,LIBROS > Negocios,1106681,9786374124052,El eco de jade,25
Sucursal AMBA 24,2026-05,LIBROS > Tecnología,1011828,9784382585452,El umbral sin fronteras,2
Sucursal AMBA 24,2026-05,LIBROS > Cocina,1035079,9782052613110,La noche de cristal,1
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1044820,9783552906769,El camino en la niebla,1
Sucursal AMBA 24,2026-05,LIBROS > Cocina,1103355,9784839636284,La casa del sur,9
Sucursal AMBA 24,2026-05,LIBROS > Ciencia,1152235,9782085644384,La tierra del bosque,169
Sucursal AMBA 24,2026-05,LIBROS > Negocios,1157842,9789503465423,El espejo eterno,33
Sucursal AMBA 24,2026-05,LIBROS > Juvenil,1157848,9780551025678,La tierra en la lluvia,19
Sucursal AMBA 24,2026-05,LIBROS > Ciencia,1160939,9780215850192,La torre de fuego,39
